ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Statement,Value,ColumnIndex,Sentiment
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,37,0,5,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,29,0,5,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,6,0,5,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,21,0,5,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,38,0,5,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,7,1,6,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,25,1,6,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,41,1,6,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,22,1,6,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,33,1,6,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,20,2,7,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,30,2,7,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,32,2,7,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,5,2,7,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,16,3,8,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,14,3,8,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,34,3,8,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,8,3,8,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,15,4,9,Positive
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,31,4,9,Negative
65,21,9,QA3,2,2024-09-29 10:59:44.843366601 +0000 UTC,65,11,5,10,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,28,-5,0,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,26,-4,1,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,6,-4,1,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,9,-4,1,Negative
